"HashMapFixture/SingleReadForHLE/128/1/1/0/0/real_time/threads:8",4828208,158.921,1158.72,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/1/25/0/real_time/threads:8",4483096,151.648,1115.55,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/1/50/0/real_time/threads:8",4405448,159.085,1156.68,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/1/75/0/real_time/threads:8",4389240,161.303,1169.59,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/1/100/0/real_time/threads:8",4404480,159.623,1159.15,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/2/0/0/real_time/threads:8",8765184,81.8463,648.743,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/2/25/0/real_time/threads:8",8363632,84.7023,670.393,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/2/50/0/real_time/threads:8",8981544,78.7196,620.442,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/2/75/0/real_time/threads:8",9186888,100.575,792.435,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/2/100/0/real_time/threads:8",9405928,91.3965,635.659,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/4/0/0/real_time/threads:8",60558568,11.8535,93.0684,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/4/25/0/real_time/threads:8",57722280,11.8526,93.1561,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/4/50/0/real_time/threads:8",56215040,11.9738,94.3471,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/4/75/0/real_time/threads:8",52958264,11.8797,93.829,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/4/100/0/real_time/threads:8",49480296,12.0018,94.7927,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/8/0/0/real_time/threads:8",1813112,402.929,2831.64,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/8/25/0/real_time/threads:8",1850288,401.948,2770.57,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/8/50/0/real_time/threads:8",1750768,401.802,2828.79,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/8/75/0/real_time/threads:8",1749728,401.994,2806.63,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/8/100/0/real_time/threads:8",1753936,403.817,2840.7,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/16/0/0/real_time/threads:8",24386704,29.3715,222.685,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/16/25/0/real_time/threads:8",23136416,28.7123,226.111,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/16/50/0/real_time/threads:8",24340016,28.6508,225.704,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/16/75/0/real_time/threads:8",24360472,28.9735,227.861,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/16/100/0/real_time/threads:8",24389992,28.7249,226.162,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/1/0/0/real_time/threads:64",5015424,144.458,1156.64,ns,,,,,
